country,NLD,NLD
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1963-06,102.0801,
1963-07,102.1245,
1963-08,102.1418,
1963-09,102.1359,
1963-10,102.1253,
1963-11,102.0976,
1963-12,102.071,
1964-01,102.0714,
1964-02,102.1079,
1964-03,102.1727,
1964-04,102.2041,
1964-05,102.1765,
1964-06,102.068,
1964-07,101.9398,
1964-08,101.8391,
1964-09,101.7739,
1964-10,101.7624,
1964-11,101.745,
1964-12,101.6981,
1965-01,101.6013,
1965-02,101.4335,
1965-03,101.1661,
1965-04,100.8278,
1965-05,100.5152,
1965-06,100.3722,
1965-07,100.39,
1965-08,100.4991,
1965-09,100.706,
1965-10,100.9835,
1965-11,101.2178,
1965-12,101.3424,
1966-01,101.2576,
1966-02,101.0643,
1966-03,100.9954,
1966-04,100.9929,
1966-05,100.9816,
1966-06,100.8717,
1966-07,100.6209,
1966-08,100.2937,
1966-09,99.84986,
1966-10,99.215,
1966-11,98.41624,
1966-12,97.75532,
1967-01,97.52972,
1967-02,97.71912,
1967-03,98.00624,
1967-04,98.15247,
1967-05,98.1725,
1967-06,98.23895,
1967-07,98.45758,
1967-08,98.69767,
1967-09,98.93842,
1967-10,99.13195,
1967-11,99.42445,
1967-12,99.75788,
1968-01,100.0901,
1968-02,100.3184,
1968-03,100.5126,
1968-04,100.6865,
1968-05,100.8609,
1968-06,100.9925,
1968-07,101.1078,
1968-08,101.1717,
1968-09,101.1759,
1968-10,101.1272,
1968-11,101.0929,
1968-12,101.0455,
1969-01,101.1012,
1969-02,101.209,
1969-03,101.3523,
1969-04,101.4405,
1969-05,101.423,
1969-06,101.3551,
1969-07,101.3124,
1969-08,101.3555,
1969-09,101.4693,
1969-10,101.6742,
1969-11,101.809,
1969-12,101.8383,
1970-01,101.7692,
1970-02,101.6217,
1970-03,101.3942,
1970-04,101.1086,
1970-05,100.934,
1970-06,100.9081,
1970-07,101.0079,
1970-08,101.0725,
1970-09,101.0627,
1970-10,100.9957,
1970-11,100.852,
1970-12,100.6932,
1971-01,100.4976,
1971-02,100.3196,
1971-03,100.1258,
1971-04,99.97356,
1971-05,99.79369,
1971-06,99.54254,
1971-07,99.228,
1971-08,98.95589,
1971-09,98.78271,
1971-10,98.73057,
1971-11,98.80651,
1971-12,98.90066,
1972-01,99.01816,
1972-02,99.08193,
1972-03,99.0722,
1972-04,98.912,
1972-05,98.68156,
1972-06,98.72776,
1972-07,99.02171,
1972-08,99.36959,
1972-09,99.78532,
1972-10,100.1427,
1972-11,100.4785,
1972-12,100.84,
1973-01,101.2061,101.4432
1973-02,101.177,101.4239
1973-03,101.2501,101.2662
1973-04,101.5149,101.0019
1973-05,101.7843,100.8458
1973-06,101.9457,100.8823
1973-07,101.9997,101.0764
1973-08,101.9493,101.2381
1973-09,101.849,101.4056
1973-10,101.6504,101.5394
1973-11,101.4059,101.3547
1973-12,101.3641,100.7659
1974-01,101.341,99.92651
1974-02,101.2242,99.52881
1974-03,101.1499,99.6204
1974-04,101.1067,100.0017
1974-05,100.8054,100.2792
1974-06,100.5425,100.3504
1974-07,100.321,100.2721
1974-08,99.80538,100.1879
1974-09,99.00488,100.1184
1974-10,98.07011,100.045
1974-11,97.17004,99.97955
1974-12,96.39984,99.89325
1975-01,95.86043,99.78193
1975-02,95.45423,99.75245
1975-03,94.96273,99.70049
1975-04,94.81136,99.629
1975-05,94.86758,99.55572
1975-06,94.9002,99.44009
1975-07,94.88177,99.25658
1975-08,95.00684,99.11031
1975-09,95.45322,98.98698
1975-10,96.10305,98.89923
1975-11,96.5582,99.00989
1975-12,96.9268,99.43072
1976-01,97.26487,100.1118
1976-02,97.36176,100.5651
1976-03,97.47963,100.6287
1976-04,97.48689,100.4469
1976-05,97.45919,100.2619
1976-06,97.56911,100.1625
1976-07,97.54877,100.1244
1976-08,97.50367,100.1092
1976-09,97.52192,100.1033
1976-10,97.51465,100.1325
1976-11,97.55643,100.268
1976-12,97.53384,100.5974
1977-01,97.77032,101.0893
1977-02,98.17583,101.4077
1977-03,98.47223,101.4325
1977-04,98.45435,101.2297
1977-05,98.30938,101.0269
1977-06,98.12214,100.8376
1977-07,97.86603,100.6642
1977-08,97.59036,100.5428
1977-09,97.4193,100.4279
1977-10,97.41656,100.3132
1977-11,97.60244,100.3469
1977-12,97.80272,100.6572
1978-01,97.87373,101.1742
1978-02,97.96397,101.4642
1978-03,98.08437,101.3687
1978-04,98.2228,101.003
1978-05,98.3776,100.708
1978-06,98.52233,100.5483
1978-07,98.70805,100.4625
1978-08,98.86774,100.4237
1978-09,99.04174,100.3797
1978-10,99.2179,100.2929
1978-11,99.36245,100.1835
1978-12,99.3977,100.072
1979-01,99.16071,99.94434
1979-02,99.1885,99.86301
1979-03,99.31253,99.80608
1979-04,99.50369,99.74824
1979-05,99.85147,99.71792
1979-06,100.0649,99.71053
1979-07,100.1515,99.71883
1979-08,100.1532,99.74021
1979-09,100.1629,99.76856
1979-10,100.1687,99.77276
1979-11,100.0947,99.66834
1979-12,100.0531,99.31335
1980-01,99.90476,98.75723
1980-02,99.71223,98.30682
1980-03,99.47699,97.92635
1980-04,99.17804,97.54333
1980-05,98.80238,97.28461
1980-06,98.38687,97.13671
1980-07,98.03519,97.0601
1980-08,97.71758,96.99262
1980-09,97.46857,96.92599
1980-10,97.29354,96.8289
1980-11,97.10986,96.71352
1980-12,96.97269,96.58818
1981-01,96.84771,96.42821
1981-02,96.79897,96.30126
1981-03,96.75527,96.23827
1981-04,96.81595,96.21587
1981-05,96.88356,96.21942
1981-06,97.01422,96.26539
1981-07,97.19606,96.39779
1981-08,97.3217,96.49773
1981-09,97.26353,96.58453
1981-10,97.00509,96.71574
1981-11,96.75011,96.75591
1981-12,96.56518,96.67888
1982-01,96.48067,96.52757
1982-02,96.47107,96.49102
1982-03,96.53935,96.62225
1982-04,96.57273,96.87469
1982-05,96.633,96.97108
1982-06,96.66614,96.87345
1982-07,96.69906,96.68681
1982-08,96.80652,96.46774
1982-09,96.97503,96.26649
1982-10,96.99541,96.05712
1982-11,97.11482,95.93861
1982-12,97.2974,95.91083
1983-01,97.51595,95.99295
1983-02,97.72328,96.10678
1983-03,97.94154,96.28363
1983-04,98.05492,96.5505
1983-05,98.0532,96.75323
1983-06,98.17545,96.86765
1983-07,98.39912,96.9414
1983-08,98.62573,96.9795
1983-09,98.7142,97.01509
1983-10,98.71616,97.07135
1983-11,98.89056,97.1259
1983-12,99.13678,97.19904
1984-01,99.38518,97.29924
1984-02,99.60796,97.34992
1984-03,99.8279,97.37838
1984-04,99.94634,97.46502
1984-05,99.98512,97.57043
1984-06,100.0189,97.73775
1984-07,100.0332,97.98727
1984-08,100.0448,98.1491
1984-09,99.93299,98.19168
1984-10,99.94128,98.20449
1984-11,100.0698,98.35546
1984-12,100.221,98.73366
1985-01,100.43,99.34281
1985-02,100.6935,99.72314
1985-03,100.7602,99.85952
1985-04,100.6375,99.84457
1985-05,100.5403,99.84335
1985-06,100.5054,99.9639
1985-07,100.4578,100.2006
1985-08,100.3228,100.3713
1985-09,100.2277,100.5458
1985-10,100.2053,100.7734
1985-11,100.2123,100.9521
1985-12,100.2135,101.1358
1986-01,100.2359,101.3698
1986-02,100.137,101.4927
1986-03,100.0286,101.4806
1986-04,99.96015,101.3673
1986-05,99.95022,101.3435
1986-06,99.96242,101.2915
1986-07,99.94621,101.1995
1986-08,99.85548,101.1125
1986-09,99.80335,101.0796
1986-10,99.84491,101.1255
1986-11,99.89086,101.1536
1986-12,99.89687,101.1883
1987-01,99.86378,101.2324
1987-02,99.86243,101.2315
1987-03,99.805,101.1026
1987-04,99.7235,100.9228
1987-05,99.67319,100.7111
1987-06,99.69102,100.4788
1987-07,99.75351,100.3537
1987-08,99.82047,100.437
1987-09,99.95728,100.6687
1987-10,100.0833,100.7437
1987-11,100.1118,100.704
1987-12,100.0401,100.7047
1988-01,99.96672,100.736
1988-02,99.97835,100.7958
1988-03,100.0388,100.8584
1988-04,100.1311,100.9303
1988-05,100.2125,100.9154
1988-06,100.2917,100.8898
1988-07,100.3625,100.9578
1988-08,100.4174,101.0752
1988-09,100.4532,101.2127
1988-10,100.54,101.4404
1988-11,100.6615,101.6605
1988-12,100.7516,101.7408
1989-01,100.7733,101.7716
1989-02,100.7514,101.754
1989-03,100.7816,101.7573
1989-04,100.868,101.7194
1989-05,100.9237,101.6604
1989-06,100.8838,101.7063
1989-07,100.8048,101.8008
1989-08,100.7648,101.891
1989-09,100.774,102.0058
1989-10,100.8757,102.1231
1989-11,100.8759,102.1985
1989-12,100.7336,102.1792
1990-01,100.6382,102.0577
1990-02,100.6282,101.9348
1990-03,100.6246,101.8523
1990-04,100.6879,101.7422
1990-05,100.7596,101.6103
1990-06,100.7527,101.4586
1990-07,100.6654,101.244
1990-08,100.5562,100.9429
1990-09,100.4782,100.6791
1990-10,100.4647,100.4617
1990-11,100.4685,100.2461
1990-12,100.4065,100.0797
1991-01,100.2636,99.89793
1991-02,100.1084,99.9364
1991-03,100.005,100.147
1991-04,99.90725,100.2171
1991-05,99.88433,100.226
1991-06,99.84969,100.1266
1991-07,99.84541,99.93958
1991-08,99.8768,99.79401
1991-09,99.91668,99.75378
1991-10,99.98172,99.73177
1991-11,100.108,99.77566
1991-12,100.1472,99.80103
1992-01,100.1335,99.74973
1992-02,100.0436,99.73794
1992-03,99.91856,99.83293
1992-04,99.86137,99.92029
1992-05,99.77686,100.057
1992-06,99.69077,100.2682
1992-07,99.57251,100.3821
1992-08,99.52902,100.3964
1992-09,99.39961,100.3066
1992-10,99.2151,100.0918
1992-11,98.91158,99.84788
1992-12,98.69964,99.69893
1993-01,98.59815,99.65075
1993-02,98.53849,99.58097
1993-03,98.51217,99.47504
1993-04,98.52275,99.36602
1993-05,98.566,99.28145
1993-06,98.65006,99.35242
1993-07,98.72146,99.49357
1993-08,98.78111,99.7366
1993-09,98.85918,99.91588
1993-10,98.90919,99.94552
1993-11,98.91473,100.0014
1993-12,98.99333,99.95704
1994-01,99.22163,99.96307
1994-02,99.46439,100.1019
1994-03,99.63882,100.3671
1994-04,99.82594,100.5967
1994-05,100.0345,100.7572
1994-06,100.3064,100.8443
1994-07,100.5543,100.9099
1994-08,100.7361,101.0183
1994-09,100.8383,101.0797
1994-10,100.8629,101.0166
1994-11,100.8335,100.9474
1994-12,100.8168,100.8453
1995-01,100.844,100.8388
1995-02,100.8816,100.9523
1995-03,100.8808,101.0261
1995-04,100.8019,100.9926
1995-05,100.6917,100.9911
1995-06,100.5932,100.9669
1995-07,100.5484,100.977
1995-08,100.5115,101.0986
1995-09,100.4708,101.2019
1995-10,100.4551,101.2621
1995-11,100.4511,101.1696
1995-12,100.4035,100.9153
1996-01,100.3427,100.6831
1996-02,100.2316,100.4972
1996-03,100.1193,100.3534
1996-04,100.0516,100.3761
1996-05,100.0913,100.5281
1996-06,100.201,100.6754
1996-07,100.3266,100.8246
1996-08,100.4108,100.976
1996-09,100.375,101.1475
1996-10,100.3282,101.2958
1996-11,100.3558,101.2895
1996-12,100.4437,101.2805
1997-01,100.6047,101.4074
1997-02,100.744,101.5298
1997-03,100.8218,101.6067
1997-04,100.8677,101.6759
1997-05,100.9648,101.6612
1997-06,101.1109,101.6788
1997-07,101.2916,101.7487
1997-08,101.4103,101.8352
1997-09,101.4621,101.9351
1997-10,101.4301,101.9488
1997-11,101.3573,101.9268
1997-12,101.301,101.9258
1998-01,101.2214,101.9442
1998-02,101.1761,101.9666
1998-03,101.1385,102.0463
1998-04,101.1193,102.0517
1998-05,101.097,102.1068
1998-06,101.0983,102.0801
1998-07,101.082,101.9777
1998-08,101.0146,101.6949
1998-09,100.9021,101.3215
1998-10,100.6266,101.0629
1998-11,100.3815,101.0358
1998-12,100.2705,101.0353
1999-01,100.2441,100.9663
1999-02,100.2569,100.8879
1999-03,100.2483,100.8655
1999-04,100.2521,100.9622
1999-05,100.2673,101.0879
1999-06,100.3459,101.2354
1999-07,100.44,101.4118
1999-08,100.5534,101.6648
1999-09,100.7711,101.9496
1999-10,101.0228,102.1795
1999-11,101.1418,102.2155
1999-12,101.1371,102.2434
2000-01,101.136,102.2752
2000-02,101.1885,102.2662
2000-03,101.2683,102.2704
2000-04,101.3283,102.2476
2000-05,101.3902,102.1894
2000-06,101.4533,102.1416
2000-07,101.51,102.0601
2000-08,101.4826,102.0469
2000-09,101.4588,102.0849
2000-10,101.4578,102.1516
2000-11,101.3924,102.0803
2000-12,101.2548,101.8693
2001-01,101.074,101.5363
2001-02,100.8532,101.1846
2001-03,100.6278,100.9032
2001-04,100.4246,100.7131
2001-05,100.3019,100.5891
2001-06,100.2296,100.4044
2001-07,100.1353,100.3142
2001-08,100.0224,100.2613
2001-09,99.83374,100.2544
2001-10,99.59493,100.2765
2001-11,99.48022,100.4937
2001-12,99.51232,100.8724
2002-01,99.67714,101.2217
2002-02,99.87629,101.2487
2002-03,99.94704,101.0758
2002-04,99.94034,100.7517
2002-05,99.91156,100.4239
2002-06,99.89642,100.0995
2002-07,99.90891,99.82853
2002-08,99.9565,99.60906
2002-09,99.88905,99.47039
2002-10,99.7823,99.44685
2002-11,99.7282,99.41297
2002-12,99.66458,99.22267
2003-01,99.537,98.87318
2003-02,99.36234,98.63749
2003-03,99.20247,98.57578
2003-04,99.09259,98.64095
2003-05,99.03174,98.74039
2003-06,99.01573,98.72856
2003-07,99.06721,98.72672
2003-08,99.15929,98.889
2003-09,99.31797,99.05746
2003-10,99.51474,99.16339
2003-11,99.75418,99.29009
2003-12,100.0003,99.40797
2004-01,100.122,99.479
2004-02,100.1547,99.67135
2004-03,100.2096,99.69569
2004-04,100.2871,99.65348
2004-05,100.4066,99.65122
2004-06,100.5137,99.68377
2004-07,100.5449,99.79557
2004-08,100.506,99.78793
2004-09,100.4402,99.65644
2004-10,100.3444,99.45401
2004-11,100.2964,99.29239
2004-12,100.2733,99.2266
2005-01,100.2306,99.34437
2005-02,100.1562,99.52838
2005-03,100.0818,99.62759
2005-04,100.0194,99.66334
2005-05,99.98894,99.51342
2005-06,99.94247,99.39654
2005-07,99.99472,99.35749
2005-08,100.177,99.254
2005-09,100.4003,99.30151
2005-10,100.5965,99.54089
2005-11,100.7413,99.83422
2005-12,100.8888,100.0735
2006-01,101.0269,100.2483
2006-02,101.0834,100.4094
2006-03,101.1424,100.5944
2006-04,101.2027,100.7394
2006-05,101.2577,100.8406
2006-06,101.404,100.9826
2006-07,101.5561,101.0641
2006-08,101.6691,101.1329
2006-09,101.7403,101.217
2006-10,101.7433,101.2566
2006-11,101.7099,101.3084
2006-12,101.6966,101.4486
2007-01,101.6641,101.5477
2007-02,101.6444,101.5635
2007-03,101.5733,101.5578
2007-04,101.4795,101.6085
2007-05,101.4325,101.6416
2007-06,101.4054,101.6698
2007-07,101.4141,101.5712
2007-08,101.4063,101.307
2007-09,101.4065,100.8902
2007-10,101.493,100.678
2007-11,101.5667,100.5468
2007-12,101.5881,100.3927
2008-01,101.565,100.2049
2008-02,101.4389,100.0326
2008-03,101.2312,99.89722
2008-04,101.0461,99.66219
2008-05,100.9704,99.4134
2008-06,100.9815,99.14536
2008-07,100.9309,98.87981
2008-08,100.6867,98.94827
2008-09,100.1535,99.07256
2008-10,99.36308,99.06229
2008-11,98.46819,99.0229
2008-12,97.59427,98.9758
2009-01,97.05683,98.92659
2009-02,96.75758,98.88335
2009-03,96.72177,98.90578
2009-04,96.85873,99.17737
2009-05,97.10535,99.50607
2009-06,97.41235,99.6886
2009-07,97.79011,99.84639
2009-08,98.20183,100.0698
2009-09,98.50906,100.2312
2009-10,98.7527,100.3398
2009-11,99.01517,100.5683
2009-12,99.19211,100.768
2010-01,99.2995,100.8334
2010-02,99.41994,100.6753
2010-03,99.57981,100.4018
2010-04,99.7674,100.071
2010-05,99.94238,99.95069
2010-06,100.0329,99.9673
2010-07,100.0687,100.043
2010-08,100.1056,100.1514
2010-09,100.1593,100.1696
2010-10,100.245,100.1887
2010-11,100.3396,100.1923
2010-12,100.4805,100.1964
2011-01,100.6403,100.3758
2011-02,100.7703,100.4822
2011-03,100.903,100.4444
2011-04,100.8675,100.3207
2011-05,100.6345,100.148
2011-06,100.3209,99.95058
2011-07,100.0225,99.66644
2011-08,99.85049,99.114
2011-09,99.78349,98.49283
2011-10,99.7317,98.0546
2011-11,99.74254,97.92946
2011-12,99.80601,97.84167
2012-01,99.82855,97.88505
2012-02,99.81589,98.01832
2012-03,99.74266,98.07947
2012-04,99.61132,98.14387
2012-05,99.49456,98.05846
2012-06,99.45112,98.09991
2012-07,99.47323,98.40975
2012-08,99.51462,98.59162
2012-09,99.43765,98.60086
2012-10,99.326,98.36036
2012-11,99.2691,97.96803
2012-12,99.2737,97.79288
2013-01,99.35155,97.78342
2013-02,99.46857,97.68623
2013-03,99.48246,97.87907
2013-04,99.45667,98.22536
2013-05,99.49264,98.40154
2013-06,99.58612,98.34554
2013-07,99.7761,98.3119
2013-08,100.0204,98.46533
2013-09,100.1597,98.74084
2013-10,100.2429,99.18178
2013-11,100.2336,99.6931
2013-12,100.2046,100.0774
2014-01,100.2233,100.4051
2014-02,100.2734,100.6445
2014-03,100.3286,100.7823
2014-04,100.3022,100.7863
2014-05,100.2694,100.7568
2014-06,100.2622,100.6912
2014-07,100.3029,100.5569
2014-08,100.3797,100.3713
2014-09,100.4839,100.2642
2014-10,100.6091,100.2582
2014-11,100.648,100.2318
2014-12,100.6205,100.243
2015-01,100.5425,100.3536
2015-02,100.5154,100.4879
2015-03,100.5731,100.6974
2015-04,100.678,100.8249
2015-05,100.7713,100.9304
2015-06,100.822,101.0047
2015-07,100.8413,101.037
2015-08,100.8779,101.0571
2015-09,100.8917,101.0299
2015-10,100.8546,100.9947
2015-11,100.8147,100.9911
2015-12,100.7327,100.9065
2016-01,100.6916,100.7541
2016-02,100.6856,100.5265
2016-03,100.7386,100.4202
2016-04,100.8176,100.4706
2016-05,100.9031,100.5576
2016-06,100.9557,100.6436
2016-07,100.8932,100.629
2016-08,100.7834,100.6998
2016-09,100.7836,100.9376
2016-10,100.8509,101.2053
2016-11,100.9409,101.3426
2016-12,101.0494,101.3903
2017-01,101.1522,101.4523
2017-02,101.2358,101.5183
2017-03,101.3021,101.5749
2017-04,101.3153,101.5544
2017-05,101.2903,101.4512
2017-06,101.2939,101.4728
2017-07,101.2708,101.5648
2017-08,101.3006,101.6059
2017-09,101.4218,101.605
2017-10,101.555,101.6459
2017-11,101.6745,101.6135
2017-12,101.7216,101.5859
2018-01,101.7616,101.5499
2018-02,101.7678,101.4853
2018-03,101.7043,101.4884
2018-04,101.6126,101.4607
2018-05,101.5515,101.3947
2018-06,101.4274,101.4015
2018-07,101.2864,101.4014
2018-08,101.2227,101.2903
2018-09,101.2114,101.1421
2018-10,101.2499,100.9297
2018-11,101.3069,100.6586
2018-12,101.2997,100.3194
2019-01,101.2526,100.0143
2019-02,101.2272,99.87709
2019-03,101.2,99.84393
2019-04,101.1341,99.89127
2019-05,100.991,99.95362
2019-06,100.8428,100.0641
2019-07,100.7997,100.104
2019-08,100.8041,100.0683
2019-09,100.7967,100.0692
2019-10,100.8048,100.1402
2019-11,100.8109,100.1487
2019-12,100.8214,100.1007
2020-01,100.7226,100.0023
2020-02,100.2387,99.77757
2020-03,99.06178,99.17921
2020-04,97.47424,98.38893
2020-05,97.01755,98.22559
2020-06,97.60007,98.50771
2020-07,98.46173,98.8094
2020-08,99.11556,98.97292
2020-09,99.4405,99.08164
2020-10,99.59718,99.22425
2020-11,99.79532,99.55943
2020-12,100.0601,99.89868
2021-01,100.2804,100.0937
2021-02,100.4981,100.2608
2021-03,100.8417,100.5712
2021-04,101.2317,100.9253
2021-05,101.5759,101.2488
2021-06,101.8257,101.428
2021-07,101.9246,101.2319
2021-08,101.9275,100.9421
2021-09,101.9946,100.6096
2021-10,102.065,100.0845
2021-11,102.0358,99.58006
2021-12,101.8769,99.31575
2022-01,101.7211,99.05381
2022-02,101.6541,98.5658
2022-03,101.6698,97.93786
2022-04,101.6916,97.50961
2022-05,101.6177,97.34602
2022-06,101.4689,97.13089
2022-07,101.2779,96.92303
2022-08,101.0225,96.60542
2022-09,100.8164,96.30984
2022-10,100.7339,96.4022
2022-11,100.7539,96.78082
2022-12,100.7966,97.27555
2023-01,100.8263,97.73156
2023-02,100.8399,98.16486
2023-03,100.8057,98.40748
2023-04,100.6816,98.44007
2023-05,100.5252,98.33717
2023-06,100.357,98.27792
2023-07,100.1779,98.25886
